Outlet_ID,Outlet_Name,Staff_Score,Workforce_Category,Workforce_Alert_Level,Latest_Scheduling_Status,Marketing_Score,Effectiveness_Category,Marketing_Alert_Level,Average_Campaign_ROI,Inventory_Score,High_Risk_SKUs,Recommended_Replenishment_Units,Inventory_Priority,Inventory_Action,Inventory_Status,Operational_Health_Score,Cross_Functional_Risks,Primary_Focus_Area,Operational_Priority,Operational_Insight,Recommended_Action
OUT0169,Franchise Outlet 0169,71.09,Meets Expectations,Low,Balanced,57.99,Moderate,Low,1.62,35.0,0,1082,Medium,REORDER,Low,55.68,2,Inventory,Medium,Operational health is 55.7/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,082 replenishment units before the next demand cycle."
OUT0170,Franchise Outlet 0170,74.09,Meets Expectations,Low,Balanced,51.31,Moderate,Medium,1.21,100.0,0,921,Low,NO_ACTION,Healthy,73.89,1,Marketing,Medium,Operational health is 73.9/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0171,Franchise Outlet 0171,93.62,Top Performer,Medium,Understaffed,71.97,Moderate,Low,2.7,35.0,0,2638,Medium,REORDER,Low,68.46,1,Inventory,Medium,Operational health is 68.5/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,638 replenishment units before the next demand cycle."
OUT0172,Franchise Outlet 0172,65.14,Needs Improvement,High,Overstaffed,47.88,Moderate,High,1.49,100.0,0,566,Low,NO_ACTION,Healthy,69.56,2,Marketing,Medium,Operational health is 69.6/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0173,Franchise Outlet 0173,61.36,Needs Improvement,High,Overstaffed,48.14,Moderate,Medium,1.43,35.0,0,529,Medium,REORDER,Low,48.82,3,Inventory,High,Operational health is 48.8/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 529 replenishment units before the next demand cycle.
OUT0174,Franchise Outlet 0174,77.67,Meets Expectations,Low,Balanced,58.22,Moderate,Medium,1.42,35.0,0,1395,Medium,REORDER,Low,58.06,2,Inventory,Medium,Operational health is 58.1/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,395 replenishment units before the next demand cycle."
OUT0175,Franchise Outlet 0175,95.45,Top Performer,Medium,Understaffed,90.3,High Performing,Low,2.57,100.0,0,2236,Low,NO_ACTION,Healthy,95.01,0,Marketing,Low,Operational health is 95.0/100 with 0 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0176,Franchise Outlet 0176,65.74,Needs Improvement,High,Overstaffed,49.77,Moderate,Medium,1.74,35.0,0,794,Medium,REORDER,Low,50.93,3,Inventory,High,Operational health is 50.9/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 794 replenishment units before the next demand cycle.
OUT0177,Franchise Outlet 0177,82.9,Meets Expectations,Medium,Understaffed,61.25,Moderate,Low,2.38,35.0,0,1620,Medium,REORDER,Low,60.95,2,Inventory,Medium,Operational health is 61.0/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,620 replenishment units before the next demand cycle."
OUT0178,Franchise Outlet 0178,93.93,Top Performer,Medium,Understaffed,67.09,Moderate,Low,2.5,100.0,0,1603,Medium,MONITOR_WASTAGE,Healthy,86.36,1,Marketing,Medium,Operational health is 86.4/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0179,Franchise Outlet 0179,91.07,Top Performer,Medium,Understaffed,62.0,Moderate,Medium,2.38,100.0,0,548,Low,NO_ACTION,Healthy,83.57,1,Marketing,Medium,Operational health is 83.6/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0180,Franchise Outlet 0180,70.55,Meets Expectations,Medium,Overstaffed,57.78,Moderate,Low,1.64,35.0,0,752,Medium,REORDER,Low,55.42,2,Inventory,Medium,Operational health is 55.4/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 752 replenishment units before the next demand cycle.
OUT0181,Franchise Outlet 0181,89.03,Meets Expectations,Medium,Understaffed,60.35,Moderate,Low,2.19,100.0,0,1042,Medium,MONITOR_WASTAGE,Healthy,82.28,1,Marketing,Medium,Operational health is 82.3/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0182,Franchise Outlet 0182,80.29,Meets Expectations,Medium,Understaffed,51.61,Moderate,High,1.99,35.0,0,1265,Medium,REORDER,Low,56.66,2,Inventory,High,Operational health is 56.7/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,265 replenishment units before the next demand cycle."
OUT0183,Franchise Outlet 0183,72.64,Meets Expectations,Low,Balanced,61.12,Moderate,Low,1.86,35.0,0,1131,Medium,REORDER,Low,57.32,2,Inventory,Medium,Operational health is 57.3/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,131 replenishment units before the next demand cycle."
OUT0184,Franchise Outlet 0184,54.35,Needs Improvement,High,Overstaffed,45.93,Moderate,Medium,1.16,100.0,0,129,Low,NO_ACTION,Healthy,65.1,2,Marketing,High,Operational health is 65.1/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0185,Franchise Outlet 0185,87.75,Meets Expectations,Medium,Understaffed,59.42,Moderate,Low,1.91,100.0,0,672,Low,NO_ACTION,Healthy,81.51,1,Marketing,Medium,Operational health is 81.5/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0186,Franchise Outlet 0186,64.98,Needs Improvement,High,Overstaffed,50.96,Moderate,Low,1.33,100.0,0,413,Medium,MONITOR_WASTAGE,Healthy,70.58,2,Marketing,Medium,Operational health is 70.6/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0187,Franchise Outlet 0187,71.62,Meets Expectations,Low,Balanced,49.65,Moderate,Medium,1.55,10.0,1,1379,High,URGENT_REORDER,Critical,45.44,2,Inventory,High,Operational health is 45.4/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is urgent reorder.,"Complete the inventory action and plan 1,379 replenishment units before the next demand cycle."
OUT0188,Franchise Outlet 0188,62.62,Needs Improvement,High,Overstaffed,48.15,Moderate,Medium,1.12,100.0,0,225,Medium,MONITOR_WASTAGE,Healthy,68.77,2,Marketing,Medium,Operational health is 68.8/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0189,Franchise Outlet 0189,56.39,Needs Improvement,High,Overstaffed,51.08,Moderate,Medium,1.08,35.0,0,291,Medium,REORDER,Low,48.11,3,Inventory,High,Operational health is 48.1/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 291 replenishment units before the next demand cycle.
OUT0190,Franchise Outlet 0190,72.6,Meets Expectations,Low,Balanced,61.35,Moderate,Low,1.94,100.0,0,605,Low,NO_ACTION,Healthy,76.88,1,Marketing,Medium,Operational health is 76.9/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0191,Franchise Outlet 0191,64.94,Needs Improvement,High,Overstaffed,45.11,Moderate,Medium,1.19,100.0,0,210,Medium,MONITOR_WASTAGE,Healthy,68.52,2,Marketing,Medium,Operational health is 68.5/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0192,Franchise Outlet 0192,94.94,Top Performer,Medium,Understaffed,82.14,High Performing,Low,2.63,100.0,0,1685,Low,NO_ACTION,Healthy,91.98,0,Marketing,Low,Operational health is 92.0/100 with 0 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0193,Franchise Outlet 0193,78.72,Meets Expectations,Medium,Understaffed,55.73,Moderate,Medium,1.81,100.0,0,419,Medium,MONITOR_WASTAGE,Healthy,77.06,1,Marketing,Medium,Operational health is 77.1/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0194,Franchise Outlet 0194,86.8,Meets Expectations,Medium,Understaffed,60.42,Moderate,Medium,2.13,35.0,0,1780,Medium,REORDER,Low,62.03,2,Inventory,Medium,Operational health is 62.0/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,780 replenishment units before the next demand cycle."
OUT0195,Franchise Outlet 0195,94.46,Top Performer,Medium,Understaffed,66.65,Moderate,Low,2.29,100.0,0,886,Low,NO_ACTION,Healthy,86.39,1,Marketing,Medium,Operational health is 86.4/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0196,Franchise Outlet 0196,93.55,Top Performer,Medium,Understaffed,72.11,Moderate,Medium,2.06,35.0,0,2923,Medium,REORDER,Low,68.48,1,Inventory,Medium,Operational health is 68.5/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,923 replenishment units before the next demand cycle."
OUT0197,Franchise Outlet 0197,66.76,Meets Expectations,Medium,Overstaffed,54.44,Moderate,Medium,2.3,100.0,0,751,Low,NO_ACTION,Healthy,72.42,2,Marketing,Medium,Operational health is 72.4/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0198,Franchise Outlet 0198,91.02,Top Performer,Medium,Understaffed,59.94,Moderate,Low,2.31,100.0,0,1450,Medium,MONITOR_WASTAGE,Healthy,82.84,1,Marketing,Medium,Operational health is 82.8/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0199,Franchise Outlet 0199,91.22,Top Performer,Medium,Understaffed,59.47,Moderate,Low,2.6,35.0,0,1545,Medium,REORDER,Low,63.24,2,Inventory,Medium,Operational health is 63.2/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,545 replenishment units before the next demand cycle."
OUT0200,Franchise Outlet 0200,76.53,Meets Expectations,Low,Balanced,57.18,Moderate,Medium,1.11,100.0,0,583,Low,NO_ACTION,Healthy,76.8,1,Marketing,Medium,Operational health is 76.8/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0201,Franchise Outlet 0201,61.32,Needs Improvement,High,Overstaffed,51.46,Moderate,Medium,1.42,35.0,0,394,Medium,REORDER,Low,49.97,3,Inventory,High,Operational health is 50.0/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 394 replenishment units before the next demand cycle.
OUT0202,Franchise Outlet 0202,93.14,Top Performer,Medium,Understaffed,71.13,Moderate,Low,2.01,35.0,0,1406,Medium,REORDER,Low,67.99,1,Inventory,Medium,Operational health is 68.0/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,406 replenishment units before the next demand cycle."
OUT0203,Franchise Outlet 0203,93.37,Top Performer,Medium,Understaffed,60.9,Moderate,Medium,2.24,35.0,0,2260,Medium,REORDER,Low,64.49,2,Inventory,Medium,Operational health is 64.5/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,260 replenishment units before the next demand cycle."
OUT0204,Franchise Outlet 0204,55.22,Needs Improvement,High,Overstaffed,45.65,Moderate,Medium,1.07,35.0,0,191,Medium,REORDER,Low,45.8,3,Inventory,High,Operational health is 45.8/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 191 replenishment units before the next demand cycle.
OUT0205,Franchise Outlet 0205,57.88,Needs Improvement,High,Overstaffed,47.38,Moderate,Medium,1.0,100.0,0,129,Low,NO_ACTION,Healthy,66.84,2,Marketing,Medium,Operational health is 66.8/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0206,Franchise Outlet 0206,94.1,Top Performer,Medium,Understaffed,65.94,Moderate,Low,1.81,35.0,0,2864,Medium,REORDER,Low,66.51,2,Inventory,Medium,Operational health is 66.5/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,864 replenishment units before the next demand cycle."
OUT0207,Franchise Outlet 0207,87.02,Meets Expectations,Medium,Understaffed,66.61,Moderate,Low,2.4,100.0,0,1251,Low,NO_ACTION,Healthy,83.77,1,Marketing,Medium,Operational health is 83.8/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0208,Franchise Outlet 0208,63.57,Needs Improvement,High,Overstaffed,52.73,Moderate,Low,1.32,35.0,0,448,Medium,REORDER,Low,51.2,3,Inventory,High,Operational health is 51.2/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 448 replenishment units before the next demand cycle.
OUT0209,Franchise Outlet 0209,70.16,Meets Expectations,Medium,Overstaffed,53.98,Moderate,Medium,2.01,35.0,0,1485,Medium,REORDER,Low,53.95,2,Inventory,High,Operational health is 54.0/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,485 replenishment units before the next demand cycle."
OUT0210,Franchise Outlet 0210,83.08,Meets Expectations,Medium,Understaffed,57.77,Moderate,Medium,1.85,100.0,0,558,Low,NO_ACTION,Healthy,79.3,1,Marketing,Medium,Operational health is 79.3/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0211,Franchise Outlet 0211,84.73,Meets Expectations,Medium,Understaffed,57.63,Moderate,Medium,2.37,35.0,0,1031,Medium,REORDER,Low,60.33,2,Inventory,Medium,Operational health is 60.3/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,031 replenishment units before the next demand cycle."
OUT0212,Franchise Outlet 0212,78.98,Meets Expectations,Low,Balanced,67.43,Moderate,Low,2.15,35.0,0,1638,Medium,REORDER,Low,61.74,2,Inventory,Medium,Operational health is 61.7/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,638 replenishment units before the next demand cycle."
OUT0213,Franchise Outlet 0213,67.68,Meets Expectations,Medium,Overstaffed,57.93,Moderate,Low,1.67,35.0,0,822,Medium,REORDER,Low,54.46,3,Inventory,High,Operational health is 54.5/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 822 replenishment units before the next demand cycle.
OUT0214,Franchise Outlet 0214,72.32,Meets Expectations,Medium,Understaffed,53.1,Moderate,Low,1.4,35.0,0,793,Medium,REORDER,Low,54.4,2,Inventory,High,Operational health is 54.4/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 793 replenishment units before the next demand cycle.
OUT0215,Franchise Outlet 0215,94.25,Top Performer,Medium,Understaffed,63.04,Moderate,Low,1.91,100.0,0,837,Low,NO_ACTION,Healthy,85.05,1,Marketing,Medium,Operational health is 85.0/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0216,Franchise Outlet 0216,72.05,Meets Expectations,Low,Balanced,64.3,Moderate,Low,1.43,35.0,0,1021,Medium,REORDER,Low,58.22,2,Inventory,Medium,Operational health is 58.2/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,021 replenishment units before the next demand cycle."
OUT0217,Franchise Outlet 0217,93.89,Top Performer,Medium,Understaffed,77.6,High Performing,Low,2.02,100.0,0,2356,Low,NO_ACTION,Healthy,90.02,0,Marketing,Low,Operational health is 90.0/100 with 0 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0218,Franchise Outlet 0218,71.51,Meets Expectations,Medium,Overstaffed,57.18,Moderate,Medium,2.21,100.0,0,1548,Medium,MONITOR_WASTAGE,Healthy,75.04,1,Marketing,Medium,Operational health is 75.0/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0219,Franchise Outlet 0219,92.28,Top Performer,Medium,Understaffed,57.22,Moderate,Medium,1.48,35.0,0,1678,Medium,REORDER,Low,62.82,2,Inventory,Medium,Operational health is 62.8/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,678 replenishment units before the next demand cycle."
OUT0220,Franchise Outlet 0220,76.6,Meets Expectations,Medium,Overstaffed,59.25,Moderate,Low,1.14,100.0,0,214,Low,NO_ACTION,Healthy,77.55,1,Marketing,Medium,Operational health is 77.5/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0221,Franchise Outlet 0221,91.54,Top Performer,Medium,Understaffed,65.94,Moderate,Low,2.38,100.0,0,1902,Medium,MONITOR_WASTAGE,Healthy,85.12,1,Marketing,Medium,Operational health is 85.1/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0222,Franchise Outlet 0222,94.99,Top Performer,Medium,Understaffed,74.16,Moderate,Low,2.26,35.0,0,1982,Medium,REORDER,Low,69.7,1,Inventory,Medium,Operational health is 69.7/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,982 replenishment units before the next demand cycle."
OUT0223,Franchise Outlet 0223,72.45,Meets Expectations,Low,Balanced,51.39,Moderate,High,1.45,100.0,0,758,Medium,MONITOR_WASTAGE,Healthy,73.34,1,Marketing,Medium,Operational health is 73.3/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0224,Franchise Outlet 0224,94.96,Top Performer,Medium,Understaffed,82.79,High Performing,Low,2.16,35.0,0,2570,Medium,REORDER,Low,72.71,1,Inventory,Medium,Operational health is 72.7/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,570 replenishment units before the next demand cycle."
OUT0225,Franchise Outlet 0225,90.09,Meets Expectations,Medium,Understaffed,52.75,Moderate,Medium,2.23,100.0,0,673,Low,NO_ACTION,Healthy,79.99,1,Marketing,Medium,Operational health is 80.0/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0226,Franchise Outlet 0226,67.65,Meets Expectations,Low,Balanced,51.73,Moderate,Medium,1.53,100.0,0,726,Medium,MONITOR_WASTAGE,Healthy,71.78,2,Marketing,Medium,Operational health is 71.8/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0227,Franchise Outlet 0227,70.59,Meets Expectations,Low,Balanced,55.88,Moderate,Medium,1.67,35.0,0,1116,Medium,REORDER,Low,54.76,2,Inventory,High,Operational health is 54.8/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,116 replenishment units before the next demand cycle."
OUT0228,Franchise Outlet 0228,83.3,Meets Expectations,Medium,Understaffed,54.83,Moderate,Medium,2.12,10.0,1,1544,High,URGENT_REORDER,Critical,51.35,2,Inventory,High,Operational health is 51.4/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is urgent reorder.,"Complete the inventory action and plan 1,544 replenishment units before the next demand cycle."
OUT0229,Franchise Outlet 0229,69.46,Meets Expectations,Low,Balanced,57.71,Moderate,Low,1.49,10.0,1,806,High,URGENT_REORDER,Critical,47.51,3,Inventory,High,Operational health is 47.5/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is urgent reorder.,Complete the inventory action and plan 806 replenishment units before the next demand cycle.
OUT0230,Franchise Outlet 0230,95.36,Top Performer,Medium,Understaffed,75.16,High Performing,Low,2.45,35.0,0,2970,Medium,REORDER,Low,70.18,1,Inventory,Medium,Operational health is 70.2/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,970 replenishment units before the next demand cycle."
OUT0231,Franchise Outlet 0231,79.48,Meets Expectations,Medium,Understaffed,48.09,Moderate,Medium,1.15,35.0,0,564,Medium,REORDER,Low,55.15,2,Inventory,High,Operational health is 55.1/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 564 replenishment units before the next demand cycle.
OUT0232,Franchise Outlet 0232,55.29,Needs Improvement,High,Overstaffed,49.64,Moderate,Low,1.07,100.0,0,175,Low,NO_ACTION,Healthy,66.73,2,Marketing,Medium,Operational health is 66.7/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0233,Franchise Outlet 0233,84.44,Meets Expectations,Medium,Understaffed,65.8,Moderate,Low,1.92,100.0,0,990,Medium,MONITOR_WASTAGE,Healthy,82.58,1,Marketing,Medium,Operational health is 82.6/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0234,Franchise Outlet 0234,89.58,Meets Expectations,Medium,Understaffed,70.63,Moderate,Low,2.35,100.0,0,896,Low,NO_ACTION,Healthy,86.07,0,Marketing,Low,Operational health is 86.1/100 with 0 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0235,Franchise Outlet 0235,91.07,Top Performer,Medium,Understaffed,56.4,Moderate,Low,1.48,100.0,0,1099,Low,NO_ACTION,Healthy,81.61,1,Marketing,Medium,Operational health is 81.6/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0236,Franchise Outlet 0236,66.06,Needs Improvement,High,Overstaffed,60.15,Moderate,Low,1.69,10.0,1,680,High,URGENT_REORDER,Critical,47.17,3,Inventory,High,Operational health is 47.2/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is urgent reorder.,Complete the inventory action and plan 680 replenishment units before the next demand cycle.
OUT0237,Franchise Outlet 0237,79.1,Meets Expectations,Medium,Understaffed,57.51,Moderate,Medium,1.34,100.0,0,1132,Low,NO_ACTION,Healthy,77.81,1,Marketing,Medium,Operational health is 77.8/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0238,Franchise Outlet 0238,65.57,Needs Improvement,High,Overstaffed,51.21,Moderate,High,1.65,100.0,0,589,Medium,MONITOR_WASTAGE,Healthy,70.87,2,Marketing,Medium,Operational health is 70.9/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0239,Franchise Outlet 0239,90.71,Meets Expectations,Medium,Understaffed,64.89,Moderate,Low,2.65,10.0,1,2638,High,URGENT_REORDER,Critical,57.46,2,Inventory,High,Operational health is 57.5/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is urgent reorder.,"Complete the inventory action and plan 2,638 replenishment units before the next demand cycle."
OUT0240,Franchise Outlet 0240,93.03,Top Performer,Medium,Understaffed,67.01,Moderate,Low,1.79,100.0,0,655,Low,NO_ACTION,Healthy,86.01,1,Marketing,Medium,Operational health is 86.0/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0241,Franchise Outlet 0241,62.55,Needs Improvement,High,Overstaffed,49.69,Moderate,Medium,0.89,100.0,0,173,Medium,MONITOR_WASTAGE,Healthy,69.28,2,Marketing,Medium,Operational health is 69.3/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0242,Franchise Outlet 0242,68.46,Meets Expectations,Medium,Overstaffed,53.51,Moderate,Low,1.54,100.0,0,324,Low,NO_ACTION,Healthy,72.69,2,Marketing,Medium,Operational health is 72.7/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0243,Franchise Outlet 0243,71.95,Meets Expectations,Medium,Overstaffed,60.0,Moderate,Low,1.48,35.0,0,1223,Medium,REORDER,Low,56.68,2,Inventory,Medium,Operational health is 56.7/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,223 replenishment units before the next demand cycle."
OUT0244,Franchise Outlet 0244,81.32,Meets Expectations,Medium,Understaffed,47.64,Moderate,High,1.5,35.0,0,743,Medium,REORDER,Low,55.64,2,Inventory,High,Operational health is 55.6/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 743 replenishment units before the next demand cycle.
OUT0245,Franchise Outlet 0245,95.28,Top Performer,Medium,Understaffed,71.61,Moderate,Low,3.16,35.0,0,2918,Medium,REORDER,Low,68.91,1,Inventory,Medium,Operational health is 68.9/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,918 replenishment units before the next demand cycle."
OUT0246,Franchise Outlet 0246,67.66,Meets Expectations,Medium,Overstaffed,57.03,Moderate,Low,1.6,35.0,0,750,Medium,REORDER,Low,54.14,3,Inventory,High,Operational health is 54.1/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 750 replenishment units before the next demand cycle.
OUT0247,Franchise Outlet 0247,94.42,Top Performer,Medium,Understaffed,71.33,Moderate,Medium,2.29,35.0,0,2082,Medium,REORDER,Low,68.51,1,Inventory,Medium,Operational health is 68.5/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,082 replenishment units before the next demand cycle."
